time,load_kg,vibration,motor_temp,door_time,trips_last_hour
0,121,0.64,74,2.19,8
1,728,1.45,65,3.05,7
2,702,1.5,65,2.47,25
3,128,1.51,59,3.39,1
4,267,0.93,60,1.94,8
5,227,1.8,45,4.8,19
6,152,2.05,45,2.08,8
7,434,1.5,41,3.81,8
8,163,0.23,40,3.48,3
9,660,0.84,80,2.08,7
10,506,0.64,67,3.96,4
11,659,1.38,83,1.58,3
12,216,0.26,76,2.93,20
13,557,1.75,51,2.57,24
14,360,0.48,54,4.95,12
15,342,0.32,64,3.2,2
16,567,0.89,94,2.84,17
17,388,1.29,75,2.37,11
18,268,1.09,65,2.11,15
19,185,0.61,44,2.94,5
20,133,1.54,67,1.97,15
21,733,1.41,67,4.86,4
22,390,0.94,59,4.2,7
23,597,1.94,68,4.78,17
24,173,1.66,57,4.76,18
25,263,1.3,41,2.71,1
26,205,2.01,56,2.57,17
27,258,1.43,44,3.26,7
28,202,0.45,61,3.66,15
29,144,2.37,61,4.56,24
30,764,1.17,67,4.18,17
31,269,0.73,58,2.56,8
32,756,1.87,95,2.88,17
33,657,0.63,53,3.79,24
34,648,2.13,84,4.95,18
35,186,2.32,44,3.88,4
36,140,0.18,51,4.89,8
37,263,1.61,40,4.13,18
38,730,1.08,53,2.8,4
39,618,0.53,54,3.18,19
40,741,0.52,46,4.58,24
41,250,1.8,61,1.81,13
42,576,0.14,92,2.68,2
43,495,1.53,73,3.82,21
44,595,1.14,92,1.57,17
45,655,1.24,85,3.53,13
46,289,2.37,90,4.83,12
47,422,1.87,73,3.29,22
48,353,1.85,64,1.66,23
49,292,0.73,68,1.55,6
50,563,1.65,88,2.14,3
51,706,1.69,65,2.64,13
52,642,0.16,76,3.86,6
53,524,0.7,88,4.74,10
54,122,1.86,79,4.03,5
55,618,1.96,93,3.02,4
56,453,0.81,87,2.77,20
57,208,1.72,83,3.68,25
58,667,0.45,66,3.6,7
59,541,0.85,92,2.06,5
60,639,1.39,68,2.24,9
61,647,1.55,69,2.12,1
62,133,1.64,41,3.82,20
63,462,2.26,94,4.34,25
64,409,0.28,79,3.64,15
65,520,1.34,81,1.87,17
66,469,0.66,79,2.39,23
67,461,1.89,45,4.63,17
68,175,2.35,54,4.01,1
69,164,1.95,80,3.05,21
70,427,0.48,50,3.22,25
71,196,1.2,51,4.64,23
72,204,0.12,85,4.28,20
73,108,1.52,47,2.4,9
74,680,1.66,59,3.83,18
75,366,1.69,60,1.89,6
76,743,0.3,53,3.46,7
77,501,0.61,71,3.02,10
78,134,1.78,65,4.2,9
79,211,0.87,85,2.78,15
80,383,1.65,58,1.59,24
81,154,0.59,52,1.97,19
82,410,0.83,84,2.72,2
83,761,0.76,87,4.16,24
84,398,0.83,88,2.12,5
85,380,0.44,42,2.29,12
86,585,1.95,58,2.01,10
87,498,2.24,90,2.08,12
88,758,0.41,89,1.68,7
89,679,0.69,85,3.52,2
90,517,2.5,59,3.98,2
91,760,1.4,79,3.46,18
92,154,1.92,49,2.06,25
93,648,1.06,84,4.43,20
94,677,0.52,61,4.62,15
95,634,0.78,44,2.48,4
96,389,0.36,94,1.65,16
97,587,0.46,79,1.98,5
98,306,2.45,90,1.52,1
99,640,0.52,77,3.91,17
